rno,Be_Effective,Immediate_Relief,Fix_Root_Cause,No_Side_Effect,Right_Price,Not_Too_Strong,Good_Brand,Easy_To_Find,Reduce_Gas,Protect_Stomach,Convenient_Dose,Long_Term_Effective,Good_Taste,Doc_Reccomend,Sustained_Relief,Flavours,Multiple_Forms,q14a1_1,edresp,occresp,medied,qlfn_2,qlfn_1,qlfn_3,cook_1,cook_2,cook_3,eatfreq,travel,daystrav,ailment1,ailment2,ailment3,ailment4,occcwe,edcwe,sec,mhi,ageresp,sexresp,edhw,workhw,lang_1,lang_2,anydr,chemist,family,expmedi,moub,cluster
45,5,5,5,5,3,3,3,3,3,3,3,3,3,3,5,3,3,1,4,68,2,1, , ,4, , ,9,2, ,97, , , ,54,5,A2,5, , ,4,3,2, ,2,3,1,200,1,2
46,5,5,5,5,5,3,4,5,5,4,2,5,4, ,2,5,4,2,4,52,13,1, , ,4, , ,9,2, ,97, , , ,52,6,A2,4,51,1,3,3,2,11,2,3,1,300,1,0
47,5,3,3,5,5,5,4,5,4,2,3,2,3,5,5,3,2,1,3,70,10,99, , ,4, , ,9,1,4,97, , , ,57,2,D,4,30,2,3,3,2,12,2,3,1,50,9,4
48,5,5,5,5,4,4,4,5,4,4,3,3,3,5,4,4,5,1,4,69,1,8, , ,1, , ,7,2, ,97, , , ,54,6,A1,8,25,2,6,3,2, ,2,3,1,50, ,2
49,5,5,5,5,5,5,4,3,4,4,4,5,4,3,4,3,4,1,4,57,2,9, , ,A, , ,7,2, ,97, , , ,65,6,B1,8,46,2,4,1,2, ,2,3,1,200,1,2
50,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,1,6,68,2,10, , ,4, , ,9,2, ,97, , , ,66,7,A2,5, , ,6,3,2, ,2,3,1,500,1,2
51,5,5,5,1,3,3,2,2,3,1,1,1,1,3,3,3,3,1,6,68,2,30, , ,B, , ,9,2, ,97, , , ,56,7,A1,5, , ,6,3,2, ,1,1,1,200,2,4
52,5,5,5,5,5,4,4,4,5,3,3,4,5,4,4,2,4,1,2,69,2,47, , ,4, , ,9,2, ,28, , , ,52,6,A2,4, ,1,3,3,2, ,2,3,1,200,10,3
53,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,4,5,1,2,51,1,33, , ,4, , ,8,2, ,97, , , ,50,4,C,3, ,2,3,3,2,11,2,3,1,300,1,1
54,5,4,5,3,4,4,3,4,5,4,5,3,4,4,3,4,3,10,1,68,2,99, , ,4, , ,8,2, ,97, , , ,65,6,B1,4, , ,1,3,2, ,1,3,1,200,10,4
55,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,1,6,53,2,30, , ,4, , ,9,2, ,97, , , ,53,6,A2,4, , ,4,3,2, ,2,3,1,300,1,2
56,5,5,5,5,5,3,3,3,3,3,3,3,3,3,5,4,4,1,1,70,2,99, , ,4, , ,9,2, ,97, , , ,49,3,E1,3,60,2,4,3,2,4,2,3,3,100,1,2
57,5,5,4,5,5,4,4,3,4,4,4,3,4,5,5,3,4,9,6,66,2,10, , ,1, , ,9,2, ,97, , , ,66,6,A2,4,32,1,3,3,2, ,2,3,1,200,1,2
58,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,6,66,2,22, , ,4, , ,6,2, ,97, , , ,67,6,A1,7,43,1,4,3,2, ,2,3,1,30,1,1
59,5,5,4,4,5,4,3,4,4,5,4,5,3,4,5,5,4,1,6,57,2,30, , ,4, , ,7,2, ,97, , , ,67,6,A1,4, , ,6,3,2, ,2,3,3,100,1,2
60,5,5,5,5,5,5,5,2,5,5,2,5,4,5,5,4,4,1,6,52,2,17, , ,4, , ,5,1,2,97, , , ,66,6,A2,5, , ,6,1,1,2,2,3,1,50,1,2
61,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,6,68,2,30, , ,4, , ,8,2, ,97, , , ,57,6,B1,4, , ,6,3,2, ,2,3,1,150,2,1
62,5, ,4,5,5,5,3,5,5,5,5,5,5,5,5,1,4,1,4,52,1,9, , ,4,B, ,1,1,23,97, , , ,52,4,B2,3, ,1,6,3,2, ,2,3,1,500,1,3
63,5,5,5,5,5,5,5,5,5,5,5,5,3,4,3,1,5,1,6,57,1,11,5, ,4, , ,9,2, ,97, , , ,65,6,B1,6, , ,7,1,1,2,2,3,1,100,9,3
64,5,5,5,5,5,4,5,5,5,4,3,5,5,5,5,3,4,1,1,49,2,99, , ,K, , ,9,1,1,97, , , ,49,1,E2,3,50,2,1,3,2, ,2,3,3,200,1,3
65,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,3,50,2,4, , ,2,4, ,9,2, ,97, , , ,52,4,B2,4, , ,1,3,2, ,2,3,1,200,10,1
66,5,4,5,5,5,3,4,5,5,5,5,5,5,4,4,5,4,1,6,68,1,30, , ,1,4, ,7,2, ,97, , , ,67,6,A1,6, , ,6,3,5, ,2,3,3,80,12,0
67,5,5,5,5,4,4,4,4,4,4,4,4,4,3,4,4,4,1,6,54,2,10, , ,B, , ,9,2, ,97, , , ,54,6,A1,5, , ,6,1,12, ,2,3,1,200,1,2
68,5,5,4,5,5,3,5,3,4,5,4,4,5,4,5,1,4,1,7,67,1,50, , ,1, , ,4,2, ,97, , , ,67,7,A1,10,29,1,5,3,2, ,2,3,3,400,4,2
69,2,3,4,3,2,3,4,5,5,4,3,2,3,2,3,4,4,8,4,68,2,1, , ,1,2,3,4,1,4,97, , , ,52,6,A2,5, , ,4,3,2, ,2,3,1,400,8,4
70,5,4,3,5,5,3,4,5,5,5,5,5,4,3,3,4,3,12,6,52,2,10, , ,8, , ,7,1,2,97, , , ,52,6,A2,5, , ,3,3,2, ,2,3,3,60,8,4
71,5,4,5,5,5,4,5,5,4,4,5,5,5,5,5,5,5,1,5,65,2,51, , ,4, , ,7,1,2,97, , , ,65,5,B2,3, , ,3,3,2, ,2,3,1,50,12,1
72,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,4,5,8,3,50,2,7, , ,3,4, ,2,1,1,99,7, , ,52,4,B2,3, , ,1,3,2, ,2,3,1,200,8,1
73,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,6,67,1,30, , ,A, , ,8,2, ,97, , , ,67,6,A1,6,35,1,4,3,2, ,2,3,1, ,1,1
74,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,4,5,1,6,57,2,10, , ,4, , ,6,2, ,97, , , ,57,6,B1,5,35,1,3,3,2, ,2,3,3,50,13,1
75,5,5,5,5,5,5,5,5,5,5,5,5,1,4,5,3,3,1,1,68,99,99, , ,4, , ,8,2, ,2, , , ,50,3,D,3,18,2,1,3,5, ,2,3,1,200,1,3
76,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11,4,69,3,44, , ,4, , ,4,2, ,99, , , ,52,6,A2,3, ,1,4,3,5, ,2,3,1,400,3,1
77,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,2,6,68,3,13, , ,1,3,4,8,2, ,2, , , ,65,4,C,4,42,2,6,2,5, ,2,3,1,250,13,1
78,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,65,3,11, , ,4, , ,6,2, ,3, , , ,67,6,A1,5,45,2,6,1,5, ,2,3,1,600,1,1
79,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,4,57,3,18, , ,4, , ,8,2, ,2,3, , ,51,6,B2,3,40,2,4,2,5, ,2,3,1,50,1,1
80,5,5,3,5,5,5,3,5,5,5,5,5,2,4,5,1,1,1,6,68,1,30, , ,1, , ,3,2, ,99, , , ,67,6,A1,5,60,2,6,3,5, ,2,3,1,200,12,3
81,4,5,4,5,4,5,2,5,5,3,5,5,3,2,5,2,4,1,4,68,3,1, , ,4, , ,8,2, ,99, , , ,57,6,B1,5,39,2,4,3,5, ,2,3,1,450,1,0
82,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,1,6,52,3,30, , ,4, , ,6,2, ,99, , , ,52,6,A2,3,45,1,6,2,5, ,2,3,1,250,2,3
83,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,2,90,3,47, , ,4, , ,4,2, ,99, , , ,50,3,D,4,42,2,2,3,5, ,2,3,1,200,8,1
84,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,1,6,51,3,10, , ,4, , ,7,2, ,99, , , ,66,6,A2,5,28,1,3,1,5, ,1,3,2,150,1,1
