id,month,gender,age_band,Income,Checking_account,Churn,censor
224,52,F,45-49,H,Y,0,1
225,52,F,50-54,E,Y,0,1
226,22,M,35-39,H,Y,0,1
227,18,F,00-20,U,Y,0,1
228,14,F,60-64,G,Y,0,1
229,19,F,60-64,G,N,0,1
230,15,F,35-39,D,N,0,1
231,24,F,30-34,G,Y,0,1
232,35,F,45-49,I,Y,0,1
233,15,M,50-54,U,Y,0,1
234,3,M,55-59,U,Y,0,1
235,54,M,25-29,B,Y,0,1
236,36,F,55-59,F,Y,0,1
237,7,M,25-29,F,Y,0,1
238,47,M,55-59,F,Y,0,1
239,14,M,00-20,U,Y,0,1
240,6,F,30-34,D,Y,0,1
241,40,F,50-54,I,N,0,1
242,8,F,40-44,U,N,1,0
243,43,M,45-49,H,N,0,1
244,38,M,60-64,G,Y,0,1
245,30,F,35-39,F,Y,0,1
246,36,F,60-64,H,Y,0,1
247,28,F,40-44,I,Y,0,1
248,37,M,60-64,I,Y,0,1
249,7,F,00-20,U,Y,0,1
250,43,M,50-54,F,Y,0,1
251,38,M,25-29,F,Y,0,1
252,44,M,45-49,F,N,0,1
253,45,F,50-54,F,Y,0,1
254,7,F,50-54,G,N,0,1
255,23,F,25-29,H,Y,0,1
256,31,F,65+,U,Y,1,0
257,29,M,65+,I,Y,1,0
258,53,M,40-44,D,Y,0,1
259,57,M,30-34,H,Y,0,1
260,32,M,30-34,I,Y,0,1
261,32,M,25-29,F,Y,0,1
262,5,M,60-64,G,N,0,1
263,20,F,25-29,A,Y,0,1
264,41,M,45-49,G,Y,0,1
265,25,F,45-49,F,Y,0,1
266,3,F,35-39,U,Y,0,1
267,7,M,30-34,I,Y,0,1
268,32,M,60-64,C,Y,0,1
269,29,M,25-29,U,Y,0,1
270,37,F,25-29,U,Y,1,0
271,8,M,55-59,G,Y,0,1
272,40,M,55-59,H,N,0,1
273,35,M,55-59,H,Y,0,1
274,30,F,60-64,F,Y,0,1
275,16,M,21-24,U,Y,0,1
276,38,M,40-44,F,Y,0,1
277,42,M,50-54,I,Y,0,1
278,41,F,25-29,G,Y,0,1
279,47,F,45-49,G,Y,0,1
280,47,F,60-64,G,Y,0,1
281,6,M,21-24,E,Y,0,1
282,43,M,55-59,F,Y,0,1
283,38,M,40-44,I,Y,0,1
284,46,F,60-64,H,Y,0,1
285,23,F,60-64,F,Y,0,1
286,45,M,55-59,I,N,0,1
287,46,F,50-54,G,Y,0,1
288,19,M,60-64,A,Y,0,1
289,16,F,60-64,G,N,0,1
290,49,F,25-29,C,Y,1,0
291,19,M,35-39,I,Y,0,1
292,49,F,60-64,G,Y,0,1
293,39,F,40-44,F,Y,0,1
294,12,M,45-49,F,N,0,1
295,13,M,55-59,E,N,1,0
296,39,M,50-54,F,Y,0,1
297,39,F,60-64,D,Y,0,1
298,42,F,60-64,C,Y,0,1
299,20,F,21-24,H,Y,0,1
300,35,F,60-64,I,N,0,1
301,17,M,50-54,G,Y,0,1
302,45,M,40-44,G,Y,0,1
303,18,M,40-44,F,Y,0,1
304,30,M,60-64,H,Y,0,1
305,32,M,50-54,E,Y,0,1
306,58,M,45-49,F,Y,0,1
307,32,M,50-54,F,Y,0,1
308,6,F,25-29,F,Y,0,1
309,5,M,55-59,G,Y,0,1
310,21,M,40-44,F,Y,0,1
311,20,M,55-59,F,Y,0,1
312,21,M,21-24,G,Y,0,1
313,43,F,30-34,G,Y,0,1
314,36,F,45-49,F,Y,0,1
315,39,F,50-54,G,Y,0,1
316,40,F,60-64,F,Y,0,1
317,44,F,25-29,I,N,0,1
318,9,M,21-24,U,Y,0,1
319,23,M,50-54,F,Y,0,1
320,29,F,35-39,D,Y,0,1
321,51,F,50-54,F,Y,0,1
322,11,F,25-29,G,Y,0,1
323,30,M,60-64,G,N,0,1
324,26,M,50-54,D,Y,0,1
325,28,F,60-64,I,Y,0,1
326,56,F,45-49,I,Y,0,1
327,27,F,21-24,E,Y,0,1
